token_id,name,mouth,background,clothes,fur,head,head accessory,finish,jewellery,vision,eyes,defense,shooting,rarity_score,rarity_rank
62,Kong #62,Shows Teeth,Light Blue,Shirt And Tie,Black,RKL Cap Forward,,37,,48,Closed,27,38,10345.210829291094,5917.0
63,Kong #63,Regular,Grey,Mamba Jersey,Crystal,Banana,,44,,36,Heterochromia,45,62,11332.73904957616,642.0
64,Kong #64,Kiss,Red,Dego Tee Blooded,Black,,,83,,61,Regular,72,43,10671.166706005284,1728.0
65,Kong #65,Scream,Brown,Dego Tee Blooded,Brown,,,56,,28,Regular,67,61,10307.044503706702,7349.0
66,Kong #66,Regular,Pink,Dego Tee Blooded,Green,Purple Bandana,,49,,28,Regular,78,66,10469.240922138084,3366.0
67,Kong #67,Shows Teeth,Cyan,Striped Tee,Black,,Vibe Glasses,60,,34,Bloodshot,77,96,11794.980969303511,308.0
68,Kong #68,Regular,Cyan,Tracksuit,Brown,Red Bandana,,61,,44,Regular,61,38,10286.050774072142,8271.0
69,Kong #69,Regular,Brown,Shirt And Tie,White Noise,Purple Bandana,Monocle,29,,50,Wide Scar,33,69,10429.587103642642,3891.0
70,Kong #70,Shows Teeth,Light Blue,Navy Suit,Brown,,,44,,63,Angry,47,62,10269.135667327395,8936.0
71,Kong #71,Kiss,Light Grey,Biker Jacket,Pink,Blonde Bun,,33,,48,Wide,49,46,10258.277907443575,9328.0
72,Kong #72,Shows Teeth,Pink,Striped Tee,Sky Blue,Horse Jockey Hat,,64,,38,Closed Scar,43,37,10321.756913099163,6790.0
73,Kong #73,Scream,Purple,,White Noise,Red Bandana,Red Shades,51,,71,Regular,45,62,10337.047277558093,6178.0
74,Kong #74,Shows Teeth,Light Grey,Cyan Jersey,Sky Blue,Purple Bandana,Broken Glasses,58,,31,Sad,54,69,10388.611934126957,4655.0
75,Kong #75,Missing Teeth,Gold,Shaolin Vest,Black,RKL Cap Sideways,,53,,55,Bloodshot,53,58,10484.176416820254,3166.0
76,Kong #76,Kiss,Light Grey,Biker Jacket,Grey,,,23,,42,Sad,30,34,10401.83485694942,4365.0
77,Kong #77,Ooh,Purple,,Red,,,68,,30,Wide,67,73,10390.180122381402,4615.0
78,Kong #78,Kiss,Light Blue,Cyan Jersey,Pink,,,35,,46,Angry Scar,44,76,10367.019245883508,5220.0
79,Kong #79,Drool,Dark Blue,Shirt And Tie,Red,,Red Shades,33,,37,Closed Scar,57,54,10315.484334425108,7028.0
80,Kong #80,Regular,Purple,RKL Tee,White Noise,Cap Forward,Blue Shades,16,,50,Regular,61,67,10757.923532548688,1307.0
81,Kong #81,Full Beard,Red,Tracksuit,Pink,Chopsticks Bun,,59,,56,Closed Scar,62,51,10331.453234591148,6412.0
82,Kong #82,Drool,Gold,Hawaii Shirt,Green,Purple Bandana,Gem Earring,76,,47,Closed,54,34,10678.545792475534,1685.0
83,Kong #83,Regular,Yellow,Cyan Jersey,Pink,Winter Hat,Blue Shades,65,,64,Regular,45,54,10310.167249404201,7219.0
84,Kong #84,Shows Teeth,Dark Blue,Fusion Gi,Red,Tophat,Blue Shades,55,,67,Angry,39,68,10379.954015490248,4882.0
85,Kong #85,Scream,Grey,Hawaii Shirt,Brown,,,56,,85,Closed,66,43,10661.610334779489,1779.0
86,Kong #86,Shows Teeth,Light Grey,Dego Tee Blooded,White Noise,,,22,,81,Regular,31,65,10659.228942180289,1791.0
87,Kong #87,Ooh,Dark Blue,Trippy Tee,Grey,Green Beret,Red Shades,38,,38,Regular,66,24,10400.10282456165,4407.0
88,Kong #88,Gold Smirk,Grey,Biker Jacket,Sky Blue,Bowler,Blue Shades,67,,9,Angry,41,63,11276.104629774713,684.0
89,Kong #89,Regular,Grey,Dress,Pink,Beanie,,38,,22,Closed Scar,42,28,10447.664298074382,3634.0
90,Kong #90,Scream,Grey,Tracksuit,Pink,Beanie,,47,,70,Regular,63,77,10449.49342165735,3608.0
91,Kong #91,Regular,Pink,Striped Tee,White Noise,,,83,,41,Regular,39,94,12555.882738246606,125.0
92,Kong #92,Shows Teeth,Pink,White Tee,Brown,,,63,,72,Regular,34,55,10305.436822695969,7422.0
93,Kong #93,Regular,Red,Dego Tee Blooded,Grey,Winter Hat,Monocle,48,,50,Closed,73,35,10396.920306581746,4481.0
94,Kong #94,Regular,Yellow,Trippy Tee,Black,Ski Glasses,,58,,51,Bloodshot,50,56,10263.995402091985,9135.0
95,Kong #95,Ooh,Light Grey,Biker Jacket,Brown,Beanie,Vibe Glasses,62,,55,Closed Scar,60,35,10303.341009696142,7517.0
96,Kong #96,Scream,Pink,White Tee,Brown,,,49,,43,Closed Scar,42,31,10254.779005982022,9413.0
97,Kong #97,Ooh,Purple,Red Kimono,Grey,Ski Glasses,,50,,59,Angry,36,34,10310.688919867545,7204.0
98,Kong #98,Saber Toothed,Light Grey,White Tee,Pink,,Gem Earring,67,,48,Angry Scar,72,50,10387.123316864461,4693.0
99,Kong #99,Ooh,Yellow,Cyan Jersey,Red,,3D Glasses,52,,50,Closed,44,68,10285.721004268362,8279.0
100,Kong #100,Shows Teeth,Light Grey,Cheetah Dego Tee,Brown,,,59,,53,Angry Wink,42,71,10294.292153677428,7913.0
101,Kong #101,Regular,Light Grey,,Grey,,Gem Earring,55,,71,Angry Scar,53,51,10330.8418052805,6437.0
102,Kong #102,Saber Toothed,Red,Trippy Tee,Sky Blue,Ski Glasses,,51,,46,Wide Scar,19,61,10473.278458785959,3307.0
103,Kong #103,Ooh,Purple,Trippy Tee,Red,,,67,,66,Closed Scar,72,59,10355.14370607335,5568.0
104,Kong #104,Shows Teeth,Brown,Navy Suit,Green,,,60,,59,Angry Wink,38,54,10263.363020384859,9153.0
105,Kong #105,Gold Smirk,Purple,Dress,Black,Red Bandana,Red Shades,54,,63,Angry,57,53,10314.181419405908,7075.0
106,Kong #106,Kiss,Red,Trippy Tee,Pink,RKL Cap Forward,,42,,79,Angry,66,80,10689.590519812,1624.0
107,Kong #107,Ooh,Pink,,Red,Winter Hat,,28,,37,Sad,46,37,10320.261209815599,6857.0
108,Kong #108,Regular,Purple,Hawaii Shirt,Pink,RKL Cap Forward,,38,,66,Angry Scar,43,30,10322.991143963121,6743.0
109,Kong #109,Ooh,Light Blue,Shirt And Tie,White Noise,Winter Hat,,61,,52,Regular,40,42,10266.684800709403,9034.0
110,Kong #110,Tongue Out,Dark Blue,Navy Suit,Sky Blue,Tophat,,41,,53,Wide Scar,44,47,10300.115426422022,7648.0
111,Kong #111,Gold Saber Toothed,Brown,Green Kimono,Pink,,,87,,49,Regular,35,43,10767.701769752675,1290.0
112,Kong #112,Regular,Yellow,Biker Jacket,Red,,Blue Shades,79,,77,Bloodshot,67,46,10547.723692333864,2502.0
113,Kong #113,Ooh,Dark Blue,Cheetah Dego Tee,Pink,Blonde Bun,,30,,34,Regular,43,54,10309.040256886256,7267.0
114,Kong #114,Shows Teeth,Purple,Navy Suit,Green,King Band,,35,,55,Wide,37,44,10307.693375107721,7326.0
115,Kong #115,Drool,Purple,Trippy Tee,Red,King Band,,24,,70,Angry Scar,49,54,10427.67633793885,3921.0
116,Kong #116,Saber Toothed,Grey,White Tee,Black,Horse Jockey Hat,,47,,15,Regular,37,55,10673.831591368853,1715.0
117,Kong #117,Scream,Dark Blue,Green Kimono,Red,,,72,,31,Regular,40,35,10365.070193948139,5272.0
118,Kong #118,Regular,Dark Blue,White Tee,Red,Purple Bandana,Blue Shades,56,,33,Closed,63,69,10348.325980936506,5814.0
119,Kong #119,Drool,Pink,Tracksuit,Black,Beanie,,25,,60,Angry Scar,44,71,10431.13630201897,3868.0
120,Kong #120,Regular,Light Blue,,Red,Green Beret,,45,,56,Angry Wink,60,34,10269.19665866546,8931.0
121,Kong #121,Saber Toothed,Cyan,Fusion Gi,White Noise,Blonde Bun,,73,,54,Closed,54,41,10369.592497305575,5145.0
122,Kong #122,Scream,Gold,Dego Tee Blooded,Black,Blue Pigtails,,62,,43,Regular,91,40,11713.175328162077,346.0
123,Kong #123,Missing Teeth,Brown,Hawaii Shirt,Black,,,65,,55,Bloodshot,60,47,10254.007505838144,9424.0
124,Kong #124,Ooh,Dark Blue,Tracksuit,Pink,Tophat,,50,,21,Closed Scar,46,65,10500.667198565628,2987.0
125,Kong #125,Tongue Out,Red,Shaolin Vest,Brown,,,58,,48,Sad,73,68,10362.683541968812,5347.0
126,Kong #126,Regular,Light Grey,Dego Tee Blooded,Brown,Beanie,,39,,71,Wide Scar,57,72,10361.21486507278,5402.0
127,Kong #127,Ooh,Grey,Cheetah Dego Tee,Black,Blonde Bun,,43,,80,Bloodshot,51,49,10514.17515317419,2831.0
128,Kong #128,Regular,Brown,Navy Suit,Red,,,38,,46,Angry Wink,26,51,10300.903346263678,7618.0
129,Kong #129,Full Beard,Cyan,Dego Tee Blooded,Black,,,58,,51,Regular,48,37,10263.0251851167,9164.0
130,Kong #130,Kiss,Cyan,RKL Tee,Grey,,,20,,31,Closed,71,60,10567.599672713497,2349.0
131,Kong #131,Shows Teeth,Pink,,Red,,,42,,78,Sad,57,63,10383.14530369963,4805.0
132,Kong #132,Diamond Teeth,Light Grey,Space Suit,Aurora,Halo,,67,,90,Heterochromia,57,50,12621.02772372279,121.0
133,Kong #133,Scream,Light Grey,Navy Suit,Pink,Bowler,Vibe Glasses,77,,57,Regular,51,71,10480.347595599429,3210.0
134,Kong #134,Shows Teeth,Cyan,Fusion Gi,White Noise,Blonde Bun,,31,,62,Closed Scar,72,48,10378.534273192714,4924.0
135,Kong #135,Ooh,Grey,Dego Tee Blooded,Black,Purple Bandana,,44,,57,Closed Scar,51,25,10348.961201557435,5790.0
136,Kong #136,Shows Teeth,Yellow,,Grey,Ski Glasses,,48,,51,Regular,37,42,10254.616253991602,9417.0
137,Kong #137,Ooh,Red,Navy Suit,Black,,,74,,74,Bloodshot,21,42,10578.534135790558,2281.0
138,Kong #138,Ooh,Dark Blue,,Red,,,50,,64,Regular,48,61,10233.643177347056,9841.0
139,Kong #139,Gold Smirk,Red,Trippy Tee,Red,,,44,,39,Wide Scar,59,76,10356.092307621491,5546.0
140,Kong #140,Regular,Light Grey,Cyan Jersey,Grey,,,44,,41,Sad,52,30,10262.120591595823,9195.0
141,Kong #141,Tongue Out,Purple,Cheetah Dego Tee,Grey,RKL Cap Forward,,26,,55,Bloodshot,46,51,10315.44088486179,7030.0
142,Kong #142,Regular,Red,Monk Robe,White Noise,Russian Cap,,60,,29,Angry Wink,51,33,10393.906678428655,4544.0
143,Kong #143,Gold Smirk,Purple,,Red,RKL Cap Sideways,,36,,63,Closed,57,19,10466.707201917521,3396.0
144,Kong #144,Shows Teeth,Grey,Hawaii Shirt,Pink,Purple Bandana,,34,,49,Angry,74,66,10361.572953720733,5392.0
145,Kong #145,Scream,Red,Fusion Vest,Hyper Cat,Gold Horns,,29,,66,Bloodshot Blue,50,37,11518.779931983858,505.0
146,Kong #146,Gold Smirk,Light Blue,Shaolin Vest,Green,Beanie,,27,,53,Wide,53,44,10315.488077082944,7026.0
147,Kong #147,Drool,Light Grey,Striped Tee,Black,Beanie,,55,,76,Wide,34,65,10396.95083797152,4480.0
148,Kong #148,Kiss,Purple,Tracksuit,Grey,King Band,,61,,27,Regular,33,63,10393.249363326286,4559.0
149,Kong #149,Gold Scream,Purple,RKL Tee,Brown,,,76,,51,Wide Scar,34,33,10423.22980990523,3984.0
150,Kong #150,Tongue Out,Light Grey,Striped Tee,Grey,Red Bandana,,66,,76,Regular,29,66,10471.114799419225,3338.0
151,Kong #151,Gold Saber Toothed,Gold,Cyan Jersey,Green,,,91,,21,Wide,51,53,11851.03113475097,287.0
152,Kong #152,Regular,Red,Hawaii Shirt,Grey,Horse Jockey Hat,,45,,44,Closed,55,48,10257.496466942834,9349.0
153,Kong #153,Saber Toothed,Light Blue,Biker Jacket,White Noise,King Band,,24,,35,Angry Scar,58,26,10437.50618266525,3763.0
154,Kong #154,Regular,Light Grey,Dego Tee Blooded,Black,,,67,,80,Angry Wink,38,53,10518.197342532158,2798.0
155,Kong #155,Saber Toothed,Light Grey,Striped Tee,Brown,,3D Glasses,83,,35,Bloodshot,64,40,10665.915402730177,1757.0
156,Kong #156,Kiss,Light Blue,,White Noise,Green Beret,,45,,61,Bloodshot,53,49,10259.718554262408,9278.0
157,Kong #157,Regular,Dark Blue,White Tee,Pink,Beanie,,63,,43,Angry,70,64,10328.585091070807,6516.0
158,Kong #158,Kiss,Dark Blue,Shaolin Vest,Grey,Russian Cap,,46,,74,Angry,58,49,10341.913783135184,6017.0
159,Kong #159,Regular,Red,Fusion Gi,Grey,Blonde Bun,,64,,26,Regular,40,53,10335.504785343126,6238.0
160,Kong #160,Kiss,Light Blue,Hawaii Shirt,White Noise,Bowler,,63,,48,Closed,43,27,10344.795783285996,5929.0
161,Kong #161,Drool,Light Blue,,Red,,,51,,43,Sad,27,31,10318.312135606704,6924.0
162,Kong #162,Kiss,Gold,Cheetah Dego Tee,Black,Red Bandana,3D Glasses,77,,51,Wide Scar,58,66,10671.153811203894,1729.0
163,Kong #163,Missing Teeth,Light Grey,Biker Jacket,Red,,,59,,68,Angry Wink,55,57,10282.283814568662,8418.0
164,Kong #164,Gold Smirk,Cyan,,Sky Blue,King Band,,53,,62,Closed,37,34,10308.40443002129,7291.0
165,Kong #165,Tongue Out,Dark Blue,Shaolin Vest,Brown,King Band,Blue Shades,61,,35,Regular,60,36,10315.918275826107,7005.0
166,Kong #166,Regular,Purple,,White Noise,Winter Hat,,35,,23,Regular,38,43,10369.978425648274,5134.0
167,Kong #167,Gold Saber Toothed,Cyan,,Black,RKL Cap Sideways,,42,,24,Sad,31,54,10355.330035461973,5566.0
168,Kong #168,Ooh,Pink,Biker Jacket,Green,Beanie,Vibe Glasses,26,,52,Angry Wink,50,53,10323.058802664515,6741.0
169,Kong #169,Regular,Grey,,Black,,,58,,38,Closed Scar,69,58,10282.698557235626,8400.0
170,Kong #170,Referee,Brown,Cheetah Dego Tee,Brown,,,44,,66,Regular,34,48,10302.834740548633,7539.0
171,Kong #171,Cigar,Gold,Cyan Jersey,Sky Blue,,,66,,12,Sad,38,44,10982.213048282503,933.0
172,Kong #172,Regular,Pink,Cheetah Dego Tee,Brown,Bowler,,43,,48,Angry Scar,31,49,10284.541882134776,8332.0
173,Kong #173,Regular,Yellow,Red Kimono,Red,,,50,,28,Wide,33,58,10318.462023256663,6922.0
174,Kong #174,Cigar,Yellow,Dress,Green,,,45,,70,Wide Scar,43,71,10406.181240086005,4272.0
175,Kong #175,Gold Scream,Light Blue,Shaolin Vest,Red,RKL Cap Forward,Red Shades,52,,51,Regular,59,46,10284.461282669256,8335.0
176,Kong #176,Full Beard,Pink,Biker Jacket,Sky Blue,,,69,,34,Closed,32,47,10351.610547275299,5703.0
177,Kong #177,Scream,Brown,Shirt And Tie,Red,RKL Cap Sideways,Broken Glasses,69,,61,Bloodshot,47,41,10358.686215227925,5478.0
178,Kong #178,Referee,Yellow,Biker Jacket,Sky Blue,Blonde Bun,,32,,63,Angry,43,40,10347.817736552399,5831.0
179,Kong #179,Cigar,Gold,,Black,,Gold Stud,24,,19,Angry,59,46,10801.009508462961,1202.0
180,Kong #180,Referee,Grey,Dego Tee Blooded,Brown,King Band,,55,,55,Regular,43,36,10299.089990158313,7690.0
181,Kong #181,Gold Smirk,Red,Navy Suit,Grey,,Vibe Glasses,81,,52,Closed,40,47,10549.010849727567,2489.0
182,Kong #182,Scream,Brown,Biker Jacket,Pink,Bowler,Blue Shades,46,,54,Bloodshot,46,29,10311.17492731532,7186.0
183,Kong #183,Ooh,Gold,,Brown,Chopsticks Bun,,25,,48,Angry Scar,41,35,10595.711308414846,2174.0
184,Kong #184,Regular,Cyan,Trippy Tee,Grey,Winter Hat,,31,,32,Bloodshot,66,54,10337.516889511935,6157.0
185,Kong #185,Ooh,Cyan,Striped Tee,White Noise,Blonde Bun,,77,,55,Closed,67,50,10405.650739825194,4284.0
186,Kong #186,Scream,Light Grey,Shirt And Tie,White Noise,,,59,,96,Regular,65,61,11646.572522786928,419.0
187,Kong #187,Scream,Purple,White Tee,Black,Ski Glasses,Gold Stud,41,,32,Angry,80,69,10665.991241137028,1756.0
188,Kong #188,Scream,Purple,Trippy Tee,White Noise,Green Beret,Broken Glasses,56,,22,Sad,78,50,10586.467802085284,2231.0
189,Kong #189,Regular,Brown,Cheetah Dego Tee,Pink,,,57,,58,Angry Wink,49,75,10350.485029099815,5735.0
190,Kong #190,Ooh,Grey,Biker Jacket,Red,Ski Glasses,,59,,47,Angry,50,50,10253.374695971022,9445.0
191,Kong #191,Scream,Purple,Yellow Suit,Sky Blue,Blonde Bun,Gold Stud,51,,55,Angry Wink,64,24,10449.827812061938,3606.0
192,Kong #192,Regular,Light Grey,Navy Suit,Black,Blonde Bun,,40,,43,Bloodshot,18,28,10561.900767041969,2388.0
193,Kong #193,Drool,Dark Blue,Dego Tee Blooded,Brown,Horse Jockey Hat,,30,,42,Closed,43,14,10664.426097776173,1764.0
194,Kong #194,Ooh,Yellow,White Tee,White Noise,,,63,,55,Sad,38,56,10249.713089571578,9544.0
195,Kong #195,Tongue Out,Pink,White Tee,Brown,Beanie,,43,,53,Sad,48,42,10242.04870505355,9714.0
196,Kong #196,Gold Scream,Pink,Cyan Jersey,Black,,,34,,44,Bloodshot,53,71,10327.514519443821,6564.0
197,Kong #197,Regular,Dark Blue,RKL Tee,Black,,,46,,70,Closed Scar,25,71,10458.982983486729,3494.0
198,Kong #198,Ooh,Pink,,Red,Winter Hat,,33,,25,Wide,68,59,10382.898860497527,4809.0
199,Kong #199,Shows Teeth,Red,Shirt And Tie,Brown,,,47,,59,Angry,20,45,10455.989393187076,3533.0
200,Kong #200,Gold Saber Toothed,Red,Biker Jacket,Black,Green Beret,,58,,63,Wide,57,49,10282.643753094508,8401.0
201,Kong #201,Kiss,Light Blue,Tracksuit,Brown,Russian Cap,,70,,41,Regular,74,61,10416.382266383067,4092.0
202,Kong #202,Kiss,Purple,Shirt And Tie,Sky Blue,Bowler,,54,,67,Regular,11,46,11142.367647047631,810.0
203,Kong #203,Missing Teeth,Dark Blue,Cyan Jersey,Sky Blue,Green Beret,,53,,59,Wide Scar,43,67,10307.6389738781,7328.0
204,Kong #204,Ooh,Brown,,Grey,Beanie,Blue Shades,60,,41,Angry,57,51,10244.780113809593,9661.0
205,Kong #205,Kiss,Grey,Trippy Tee,Pink,Cap Forward,Blue Shades,49,,36,Sad,56,54,10286.665234951359,8242.0
206,Kong #206,Cigar,Brown,Cyan Jersey,Pink,Blue Pigtails,Monocle,50,,57,Angry Wink,47,42,10356.599387425878,5532.0
207,Kong #207,Scream,Gold,,Brown,,,43,,55,Closed Scar,35,26,10512.83880613223,2851.0
208,Kong #208,Regular,Red,Robo Arm,Hyper Cat,Gold Horns,,48,,37,Angry,37,47,11033.24690950391,868.0
209,Kong #209,Tongue Out,Purple,Striped Tee,Green,,,31,,32,Closed Scar,44,55,10304.402180291236,7463.0
210,Kong #210,Scream,Brown,Hawaii Shirt,Grey,RKL Cap Sideways,,46,,54,Wide Scar,54,60,10243.379445401102,9684.0
211,Kong #211,Ooh,Red,RKL Tee,Pink,,,34,,69,Sad,65,63,10359.866022820248,5447.0
212,Kong #212,Regular,Dark Blue,,Black,,Blue Shades,72,,51,Angry,62,44,10294.156386481742,7917.0
213,Kong #213,Drool,Light Grey,Trippy Tee,Black,,Blue Shades,53,,22,Wide,57,27,10443.194681421319,3695.0
214,Kong #214,Shows Teeth,Gold,White Tee,Pink,,,56,,58,Sad,54,64,10473.99357243328,3299.0
