name,background,body,eyes,eyewear,hand,head,mouth,skin,token_id,face,neck,special features,legendary
Fear City #14,Blue City,SB Logo Hoodie,Punk Clown,,Coffee,Silver Mickeybot Bird Mask,Penny Pipe,Barb,14,Eye Black,Clock Bling,Nunchakus,
Fear City #15,Green Flag,Varsity Jacket,,,Goldfish,White Bunny Mask with Lasers,Silver Grill with Tongue,Thumper,15,Rabbit Head,,Mouth Bubbles,
Fear City #16,Blue City,Plaid Shirt,Natural,,Big Lolly,Soul Hat and Red Wig,Natural Lips,Sophia,16,,Choker,,
Fear City #17,Subway,Blue Hoodie,Smokey Punk,,Cash,WAGMI Helmet,,Barb,17,Eye Black,,,
Fear City #18,God Bless America,Kimono,Natural,White 80s Frames,Pills,Samurai Full Bun,It Lips Smiley,Sophia,18,,,,
Fear City #19,Static,NGMI T,Cyborg,,Silver Ball and Chain,Red Wonky Baseball Cap,Natural Lips,ShadowKai,19,Nose Ring Diamond,,,
Fear City #20,3D Flag,Half Fur and Leather,Natural,,Spray Paint,Black Biker Helmet with White Stripe,,Sophia,20,,Choker,Tentacles,
Fear City #21,God Bless America,Black Hoodie,Normal Eyes,,Cash,Red Pigol Bucket Hat,Natural Lips,ShadowKai,21,,,Tentacles,
Fear City #22,Love Flash,Free Panther T,Normal,Aviators,Cash,Spikey Blonde Hair,Joint,Baker,22,,Samurai Bling,AK-47,
Fear City #23,God Bless America,Army Jacket,Normal,,Goat with Ciggy,Green Baseball Cap,Brown Beard,Baker,23,,,,
Fear City #24,Green Flag,Leather Jacket,Natural,White 80s Frames,Knife Up,Red Wonky Baseball Cap,Plastic Surgery Lips,Barb,24,,ETH Pendant,,
Fear City #25,God Bless America,Red Champion Hoodie,Labyrinth,,Syringe,Tarti Hat and Green Wig,Kiss Lips with Ciggy Holder,Barb,25,Hickies,Trainers Around Neck,,
Fear City #26,3D Flag,Really Medicated T,Baseball Pandas,,Coffee,Pigeon Lord and Crazy Eyes,Hamster Teeth,Barb,26,,,,
Fear City #27,Subway,Black T,Cartoon,80s Orange Lens,Pills,Red Pigol Bucket Hat,Joint,Helen,27,Nose Band Aid,Choker,Pigeon,
Fear City #28,Subway,Camo Bomber,Strange Red Alien,,Cop Car,White Hero Mask,Cigar,Baker,28,,Samurai Bling,,
Fear City #29,Green Flag,Green Leather Trench,,Clubmasters,Whip,Soul Hat and Blue Hair,It Lips with Ciggy Holder,Thumper,29,Rabbit Head,Eth Pendant,,
Fear City #30,Green Flag,Camo Bomber,Normal,Ski Goggles,Hot Dog,Green Baseball Cap,Goatee,Baker,30,,,Pigeon,
Fear City #31,Subway,Black Hoodie,,,Blue Donut,Blonde K-Pop ,Bubble Gum,Thumper,31,Rabbit Head,,,
Fear City #32,Subway,Army Jacket and Leather,Cartoon,,Statue of Liberty,Black Biker Helmet with Red Stripe,Cigar with Smeared Lipstick,Helen,32,,,,
Fear City #33,Subway,Bondage Waitress,Smokey Punk,,Oscar,Gold Pixie,It Lips Smiley,Barb,33,Gold Nose Ring,ETH Pendant,,
Fear City #34,Green Flag,Denim Cut Off and Pink T,,,Goldfish,Soul Hat and Blue Hair,Buck Teeth,Thumper,34,Rabbit Head,Eth Pendant,,
Fear City #35,Mutant America,Leather Jacket,Natural,,Ice Pick,Tarti Hat and Green Wig,It Lips Displaced,Helen,35,Nose Band Aid,Choker,,
Fear City #36,Mutant America,Camo Bomber and Leather Cut Off,Natural,Black Rectangle Shades Red Lens,Syringe,Red Wonky Baseball Cap,Joint,Sophia,36,Face Tattoo,,,
Fear City #37,Green Flag,Free Panther T,Normal Eyes,Ski Goggles,Syringe,Luigi Hat,Natural Lips,ShadowKai,37,,,Pigeon,
Fear City #38,Subway,Chinese Dress,Natural,,Rubber Ducky,Red Bob,Lolly Lips,Sophia,38,,,,
Fear City #39,God Bless America,Blue Bomber,Normal,Red Clubmasters,Blue Lightsaber,Trilby Hat,Joker with Ciggy,Baker,39,,,,
Fear City #40,Green Flag,Black T,Clockwork Orange,,Coffee,Mickeybot Tarnished Half Mask,Joker with Toothpick,Helen,40,,,AK-47,
Fear City #41,God Bless America,Black Metal TeaTime T,Natural,,Oscar,Green Mohawk,Lovely Lips,Sophia,41,,,AK-47,
Fear City #42,God Bless America,Plaid Shirt,,,Goldfish,Flower Mask,Joker with Ciggy Holder,Thumper,42,Rabbit Head,,,
Fear City #43,God Bless America,Black T,Natural,,Zippo,Army Helmet with Alien Mask,It Lips Smiley,Helen,43,,Choker,,
Fear City #44,Subway,Plaid Shirt Open,Strange Gaze,,Parrot,Alice Bouffant,Plastic Surgery Lips,Barb,44,Hickies,Clock Bling,,
Fear City #45,Green Flag,Black GI,Shock Rock,,Spray Paint,Army Helmet Blue Hair,Smeared Lipstick,Barb,45,,Clock Bling,,
Fear City #46,Green Flag,Free Panther T,Normal Eyes,Aviators,Cash,Blue Baseball Cap,Natural Lips,ShadowKai,46,,,,
Fear City #47,God Bless America,Bliss Hotel T,Natural,,Statue of Liberty,Green Baseball Cap,Natural Lips,Sophia,47,,,,
Fear City #48,Subway,Camo Bomber,Empress,Green 80s Frame,Bloody Superstar Sneaker,Gold Pixie,It Lips Displaced,Barb,48,Hickies,Trainers Around Neck,,
Fear City #49,God Bless America,Half Fur and Leather,Natural,Black Frame Blue Lens,Molotov,Yellow Baseball Cap,Kiss Lips with Ciggy Holder,Sophia,49,,,,
Fear City #50,Love Flash,Shadow Snake Armor,Normal Eyes,,Hummingbird,Blonde Short Mohawk,Brown Beard,ShadowKai,50,,,,
Fear City #51,Green Flag,Black T,Natural,,Light Bulb,Soul Hat and Red Wig,Joint,Sophia,51,,,,
Fear City #52,Blue City,Leather Cut Off,,,Parrot,Blonde K-Pop ,Joker with Ciggy Holder,Thumper,52,Rabbit Head,,,
Fear City #53,Subway,Free Panther T,Normal,Red Clubmasters,Blue Lightsaber,Blonde Short Mohawk,Ciggy Holder,Baker,53,,,,
Fear City #54,God Bless America,Leather Cut Off,,,Oscar,Blue Zorro Mask,Joker with Ciggy Holder,Thumper,54,Rabbit Head,,,
Fear City #55,3D Flag,Black Metal TeaTime T,Clockwork Orange,80s Orange Lens,Skull and Bubbles,Samurai Bun Half,Joint,Helen,55,Nose Band Aid,Samurai Bling,,
Fear City #56,Static,Bliss Hotel T,Smokey Punk,Green 80s Frame,Hot Dog,Vulcan,Cigar Pointing Right,Barb,56,,Clock Bling,,
Fear City #57,God Bless America,Red Football Jersey,,,Superstar Sneaker,Cat Ear Headphones,Sexy Lips,Thumper,57,Rabbit Head,,,
Fear City #58,Green Flag,Camo Bomber and Leather Cut Off,Smokey Punk,,AK-47,Bloody Bandage,It Lips Displaced,Barb,58,,Clock Bling,,
Fear City #59,Blue Magic,Army Jacket and Leather,Normal,,Ancient Chinese Sword,Punk Zombie Helmet,,Baker,59,Nose Band Aid,,,
Fear City #60,God Bless America,Bondage Waitress,Natural,Black Rectangle Shades Red Lens,COVID,Yellow Baseball Cap,Joint,Sophia,60,,Choker,Pigeon,
Fear City #61,Subway,Chinese Dress,Natural,Green 80s Frame,Skull and Bubbles,Brown Princess Leia,Madonna Mouth,Sophia,61,Gold Nose Ring,Clock Bling,,
Fear City #62,Subway,Army Jacket and Leather,Strange Red Alien,Aviators,Coffee,Blonde Short Mohawk,Brown Beard,ShadowKai,62,Nose Ring Diamond,Trainers Around Neck,Pigeon,
Fear City #63,God Bless America,Shadow Snake Armor,Normal Eyes,,Rubber Ducky,Android Neon Biker Helmet,Joker with Ciggy,ShadowKai,63,,Trainers Around Neck,,
Fear City #64,God Bless America,Denim Cut Off,Normal,Matrix Glasses,Short Samurai Sword,Red Pigol Bucket Hat,Natural Lips,Baker,64,,,,
Fear City #65,Subway,Black T,Natural,Yellow Glasses Blue Lens,Light Bulb,Blonde Pippi Braids,Lovely Lips,Sophia,65,,,Pigeon,
Fear City #66,Blue City,Denim Cut Off,Blade Runner,Black Glasses Pink Lens,Goat with Ciggy,Bondage Half Mask,It Lips Smiley,Helen,66,Pro Wrestling Face Paint,Choker,,
Fear City #67,God Bless America,Leather Cut Off,,Clubmasters,Cash,Marilyn 2,Joint,Thumper,67,Rabbit Head,,,
Fear City #68,God Bless America,Plaid Shirt,,,Statue of Liberty,Red Biker Helmet with Gold Stripe,,Thumper,68,Rabbit Head,,,
Fear City #69,Pink Spotlight,Champion T,Natural,Sci-Fi Goggles,Rubber Ducky,Red Supermeme Hat and Red Wig,Pacifier,Sophia,69,Gold Nose Ring,,,
Fear City #70,Blue Magic,Plaid Shirt,,Gold Frames,Milk,,Gold Grill with Monster Joint,Thumper,70,Rabbit Head,Eth Pendant,,
Fear City #71,Subway,Free Panther T,Normal,Red Clubmasters,Red Envelopes,Spikey Blonde Hair,Natural Lips,Baker,71,,Samurai Bling,Snitches Get Stitches,
Fear City #72,Subway,Black Hoodie,Normal Eyes,,Sakura Samurai Sword,Red Wonky Baseball Cap,Joint,ShadowKai,72,Nose Band Aid,,,
Fear City #73,Mutant America,Yellow Roller Disco T,Smokey Punk,,Light Bulb,Farrah,Natural Lips,Helen,73,Nose Band Aid,,Tentacles,
Fear City #74,Pink Spotlight,Gimp Outfit,Baseball Pandas,,Silver Ball & Chain,Pippi Braids,Madonna Mouth,Barb,74,Stardust Lightning Bolt,Trainers Around Neck,Smiley Band Aid,
Fear City #75,God Bless America,Free Panther T,Normal Eyes,,Coffee,Black Biker Helmet with Green Stripe,Idol Sneer,ShadowKai,75,,,,
Fear City #76,God Bless America,NGMI T,Normal Eyes,,Gold Samurai Sword,Android Disguise Eyes,Goatee,ShadowKai,76,,,,
Fear City #77,Subway,Beat it,,Black Glasses Acid Trip,Voodoo Doll,Blue Pigol Bucket Hat and Purple Wig,Joker with Pacifier,Helen,77,Gold Nose Ring,,Blue Lasers,
Fear City #78,Subway,Half Fur and Leather,Natural,Science Goggles,Light Bulb,Red Elvis,Ciggy Holder Smeared Lipstick,Barb,78,Eye Black,Clock Bling,,
Fear City #79,Green Flag,Bliss Hotel T,Natural,Green 80s Frame,Rubber Ducky,Cat Ear Headphones Green Hair,Joker with Pacifier,Barb,79,,,Nunchakus,
Fear City #80,Green Flag,Black Hoodie,,,Lilac Cake,Gold Bunny Mask,Joint,Thumper,80,Rabbit Head,Basketball Sneakers,,
Fear City #81,Blue City,Plaid Shirt,Demon,,Coffee,Green Glasses on Forehead,Monster Joint,Thumper,81,Rabbit Head,,,
Fear City #82,Subway,Power T,Punk Clown,,Hot Dog,Pippi Braids,Joker with Toothpick,Barb,82,,,,
Fear City #83,God Bless America,Butterfly Knives T,Punk Clown,,Skull and Bubbles,Bowler Hat and Rachel Hair,It Lips Smiley,Barb,83,,Clock Bling,,
Fear City #84,Static,Really Medicated T,Smokey Punk,,Red Envelopes,Dismal Ears,Joint,Helen,84,Nose Band Aid,Choker,Hummingbird,
Fear City #85,God Bless America,Army Jacket,Normal,Aviators,Light Bulb,Blue Baseball Cap,Juul,Baker,85,Nose Ring Diamond,,,
Fear City #86,God Bless America,DONDA,Normal Eyes,Aviators,Rubber Ducky,Luigi Hat,Ciggy Holder,ShadowKai,86,,,,
Fear City #87,Green Flag,Green Varsity Jacket,Punk Clown,Frozone,Knife Up,Yoh Mommas Hair,Silver Grill and Tongue,Barb,87,,,Pigeon,
Fear City #88,Subway,Gold Beat It,Cyborg,,Statue of Liberty,Spikey Blonde Hair,Idol Sneer,ShadowKai,88,,Trainers Around Neck,Pigeon with Syringe,
Fear City #89,Subway,Half Fur,Natural,,Voodoo Doll,Wolf Head and Blonde Hair,Madonna Mouth,Helen,89,,,,
Fear City #90,Subway,Varsity Jacket,Normal,,Goldfish,Dismal Ears,Natural Lips,Baker,90,,,,
Fear City #91,3D Flag,Camo Bomber,Normal Eyes,,Pills,Messy Short Black White Mohawk,Cigar,ShadowKai,91,Nose Band Aid,Samurai Bling,,
Fear City #92,God Bless America,Army Jacket,Natural,,Light Bulb,Tarti Hat and Green Wig,Kiss Lips with Ciggy Holder,Sophia,92,,Choker,,
Fear City #93,Love Flash,Miss American T,,,Statue of Liberty,Soul Hat and Blue Hair,Joint,Thumper,93,Rabbit Head,Basketball Sneakers,,
Fear City #94,Static,NGMI T,Normal Eyes,,Cash,Red Wonky Baseball Cap,Natural Lips,ShadowKai,94,Nose Band Aid,,,
Fear City #95,God Bless America,Denim Cut Off and Green T,Normal Eyes,,Coffee,Messy Short Black White Mohawk,Joint,ShadowKai,95,,,,
Fear City #96,Subway,Black Hoodie,,,Python,WAGMI Helmet,,ShadowKai,96,,Trainers Around Neck,,
Fear City #97,Green Flag,White Peace T,,,Blue Donut,Biker Helmet with Green Stripe,,Thumper,97,Rabbit Head,Eth Pendant,Mouth Bubbles,
Fear City #98,Subway,Power T,Punk Clown,,Rubber Ducky,Brown Princess Leia,Madonna Mouth,Barb,98,,,,
Fear City #99,3D Flag,Black Hoodie,Normal Eyes,,Cash,Cuban Beret,Natural Lips,ShadowKai,99,,,,
Fear City #100,Green Flag,Really Medicated T,Smokey Punk,,Hot Dog,Black Biker Helmet with Green Stripe,,Barb,100,Hickies,Trainers Around Neck,,
Fear City #101,God Bless America,Yellow Roller Disco T,Natural,,Zippo,Gimp Mask,,Barb,101,,,,
Fear City #102,Static,INSA Jacket,Natural,,Colt 45,Yellow Baseball Cap,Joker with Toothpick,Helen,102,Stardust Lightning Bolt,Clock Bling,,
Fear City #103,Blue City,Green Leather Trench,Small Anime,Black Rectangle Shades,Goat with Ciggy,Red Supermeme Cap and Red Hair,Joint,Thumper,103,Rabbit Head,Eth Pendant,Mouth Bubbles,
Fear City #104,Subway,Black Hoodie,Normal,Red Clubmasters,Vinyl,Red Pigol Bucket Hat,Idol Sneer,Baker,104,,,,
Fear City #105,God Bless America,Blue Hoodie,Smokey Punk,,Red Envelopes,Blonde Alice Bouffant,Stitched Big Lips,Barb,105,Nose Band Aid,,Pigeon,
Fear City #106,God Bless America,Blue Hoodie,Labyrinth,,Silver Ball & Chain,Alien Sex Fiend,Kiss Lips with Ciggy Holder,Barb,106,Nose Ring Diamond,Choker,Pigeon,
Fear City #107,Subway,Black Hoodie,Normal,,Cash,Red Wonky Baseball Cap,Natural Lips,Baker,107,,,,
Fear City #108,God Bless America,Shadow Snake Armor,Normal,,Blue Lightsaber,Messy Short Black White Mohawk,Natural Lips,Baker,108,Nose Ring Diamond,,,
Fear City #109,Under Water,Keep Disco Evil Hoodie,Natural,Science Goggles,Coffee,Pink Short Mohawk,Ciggy,Barb,109,Eye Black,,Blue Lasers,
Fear City #110,God Bless America,Yellow Roller Disco T,Natural,,Hot Dog,Black Biker Helmet with White Stripe,,Sophia,110,,Samurai Bling,Pigeon,
Fear City #111,God Bless America,Blue Bomber,Normal Eyes,,Rubber Ducky,Samurai Semi Bun,Porn Moustache,ShadowKai,111,Nose Band Aid,,Hummingbird,
Fear City #112,Green Flag,Varsity Jacket,Normal,Rocket Man,Cash,Spikey Blonde Hair,Idol Sneer,Baker,112,,,Hummingbird,
Fear City #113,God Bless America,Blue Bomber,Normal,,Ice Pick,Android Neon Biker Helmet,,Baker,113,,Samurai Bling,,
Fear City #114,Subway,NGMI T,Normal,Ski Goggles,Blue Lightsaber,Blonde Short Mohawk,Ciggy Holder,Baker,114,,,,
Fear City #115,Blue Magic,NGMI T,Cyborg,,Gold,Blue Pigol Bucket Hat,Natural Lips,ShadowKai,115,,,,
Fear City #116,Subway,Free Panther T,Normal Eyes,,Ice Pick,Spikey Blonde Hair,Joker with Ciggy,ShadowKai,116,,,,
Fear City #117,Green Flag,Free Panther T,Normal,Ski Goggles,Hummingbird,Blue Pigol Bucket Hat,Cigar,Baker,117,,,,
Fear City #118,3D Flag,Blue Vest,Normal,Rocket Man,Zippo,Spikey Blonde Hair,Idol Sneer,Baker,118,,Samurai Bling,,
Fear City #119,God Bless America,Varsity Jacket,Normal,,Goldfish,Spikey Blonde Hair,Idol Sneer,Baker,119,Pro Wrestling Face Paint,,,
Fear City #120,Green Flag,Bondage Waitress,Eye Patch,,Goldfish,Cat Burglar Mask,Cigar,Helen,120,Nose Band Aid,,,
Fear City #121,Blue City,Blue Football Jersey,Demon,,Smiley Grenade,Pippi,Joint,Thumper,121,Rabbit Head,,AK-47,
Fear City #122,Subway,Army Jacket and Leather,Natural,Goth Glasses,Skull and Bubbles,Duo Tone Wig,Smiley Smeared with Ciggy,Sophia,122,,Choker,,
Fear City #123,Green Flag,Black Metal TeaTime T,Normal Eyes,,Cop Car,Judge Wig,Cigar,ShadowKai,123,,Samurai Bling,,
Fear City #124,Subway,Black T,Smokey Punk,,Vinyl,Pink Mohawk,It Lips,Helen,124,Nose Band Aid,Clock Bling,Pigeon with Syringe,
Fear City #125,God Bless America,Fur Coat,Normal,,Parrot,Blonde Short Mohawk,Ciggy Holder,Baker,125,,Samurai Bling,,
Fear City #126,Subway,White T,Smokey Punk,,Hummingbird,Soul Hat Red Hair,Lovely Lips,Helen,126,Nose Band Aid,,,
Fear City #127,God Bless America,Denim Cut Off,,,Syringe,Crown,It Lips with Ciggy Holder,Thumper,127,Rabbit Head,Eth Pendant,,
Fear City #128,Subway,Bondage Waitress,Natural,,Zippo,Gold Pixie,Silver Grill and Tongue,Helen,128,Nose Band Aid,,Tentacles,
Fear City #129,God Bless America,Half Fur and Leather,Natural,,Cash,Red Wonky Baseball Cap,Smiley with Ciggy Holder,Barb,129,Hickies,,,
Fear City #130,Subway,White T,Natural,,COVID,Warhol,Joker with Toothpick,Helen,130,Nose Band Aid,,,
Fear City #131,God Bless America,Black Hoodie,,,Hot Dog,Cat Ear Headphones,Lolly Lips,Thumper,131,Rabbit Head,,,
Fear City #132,God Bless America,Denim Cut Off Tarti,Natural,,Syringe,Red Bride of Frankenstein,Kiss Lips with Ciggy Holder,Sophia,132,,,,
Fear City #133,Blue City,Green Leather Trench,Demon,,Oscar,Cuban Beret and Red Hair,Buck Teeth,Thumper,133,Rabbit Head,Basketball Sneakers,,
Fear City #134,Green Flag,Black Hoodie,,,Silver Ball and Chain,Neon Biker Helmet,,Thumper,134,Rabbit Head,,,
Fear City #135,Green Flag,Plaid Shirt Open,Normal Eyes,,Goldfish,Dark Pink Short Mohawk,Joker with Ciggy,ShadowKai,135,,,Snitches Get Stitches,
Fear City #136,God Bless America,Leather Cut Off,,,Lilac Cake,Biker Helmet with Green Stripe,,Thumper,136,Rabbit Head,,,
Fear City #137,God Bless America,Yellow Roller Disco T,Natural,Green 80s Frame,Oscar,Teal Princess Wig,Silver Grill and Tongue,Sophia,137,,,Pigeon,
Fear City #138,Blue City,Fur Coat,Normal Eyes,Ski Goggles,Goat with Ciggy,Messy Short Black White Mohawk,Natural Lips,ShadowKai,138,,,,
Fear City #139,Subway,Champion T,Natural,Ski Goggles,Coffee,Cat Ear Headphones,Joker Smiley,Helen,139,Nose Band Aid,Choker,,
Fear City #140,Blue Magic,Half Fur,Empress,,Syringe,Vulcan,Natural Lips,Helen,140,,,,
Fear City #141,Blue City,All Power T,Smokey Punk,,Coffee,Green Baseball Cap,It Lips,Helen,141,Nose Band Aid,Clock Bling,Pigeon,
Fear City #142,Green Flag,Beat It,Normal,Matrix Glasses,Goldfish,Red Pigol Bucket Hat,Idol Sneer,Baker,142,,,Pigeon,
Fear City #143,God Bless America,Power T,Natural,Gold Frames,Pills,Gold Short Pixie,Voluptuous and Smeared Lipstick,Sophia,143,,Choker,Whip,
Fear City #144,Green Flag,Half Fur,Smokey,,Police Badge,Blonde Pippi Braids,Joint,Helen,144,,,,
Fear City #145,Green Flag,Varsity Jacket,Natural,80s Orange Lens,Oscar,Brown Bob,Lovely Lips,Helen,145,Nose Band Aid,Samurai Bling,,
Fear City #146,God Bless America,Plaid Shirt Open,Labyrinth Green Shadow,Yellow Glasses Blue Lens,Drill,Blonde Bob,Smiley Smeared with Ciggy,Barb,146,Nose Band Aid,,,
Fear City #147,Subway,Red Football Jersey,Strange Red Alien,,Donut Dicks,Sherlock,Joint,ShadowKai,147,Eye Black,,Pigeon,
Fear City #148,Subway,Denim Cut Off and Pink T,,,Funkin Donut,White Hero Mask,Joint,Thumper,148,Rabbit Head,,,
Fear City #149,Green Flag,Half Fur,Clockwork Orange,,Police Badge,White Bunny Mask and Blue Hair,Madonna Mouth,Helen,149,,,,
Fear City #150,God Bless America,Camo Bomber,,Bitcoins,Vinyl,Black Biker Helmet with White Stripe,Joint,ShadowKai,150,,,,
Fear City #151,Green Flag,Denim Cut Off and Green T,Normal Eyes,Aviators,Drill,Man of Steal,Natural Lips,ShadowKai,151,Nose Ring Diamond,Samurai Bling,,
Fear City #152,Blue City,Blue Football Jersey,Normal Eyes,,Hot Dog,Green Mohawk,Natural Lips,ShadowKai,152,,,,
Fear City #153,God Bless America,Camo Bomber,Normal,,Hot Dog,Red Pigol Bucket Hat,Joint,Baker,153,Nose Band Aid,,,
Fear City #154,Blue City,Happy to See You T,Normal Eyes,Matrix Glasses,Oscar,Green Baseball Cap,Porn Moustache,ShadowKai,154,,,Pigeon,
Fear City #155,Green Flag,Black Hoodie,Normal,Matrix Glasses,Funkin Donut,Red Supermeme Hat,Goatee,Baker,155,,,Smiley Band Aid,
Fear City #156,God Bless America,Champion T,Empress,,Knife Down,Pippi Braids,Kiss Lips with Ciggy Holder,Barb,156,,,,
Fear City #157,God Bless America,Leather Cut Off,,,Bloody Superstar Sneaker,Farrah,Joint,Thumper,157,Rabbit Head,,,
Fear City #158,God Bless America,Black Hoodie,Normal Eyes,Matrix Glasses,Bloody Bat,Blonde Short Mohawk,Joker with Ciggy,ShadowKai,158,Nose Band Aid,,,
Fear City #159,3D Flag,Black Metal TeaTime T,Natural,,Big Lolly,Mickeybot Half Tarnished Mask,Natural Lips,Sophia,159,,Choker,,
Fear City #160,God Bless America,Bliss Hotel T,Empress,,Zippo,Brown Princess Leia,Joint,Barb,160,,,Blue Lasers,
Fear City #161,Green Flag,Happy to See You T,Normal Eyes,Ski Goggles,Rubber Ducky,Pink Short Mohawk,Porn Moustache,ShadowKai,161,,,,
Fear City #162,Static,Yellow Roller Disco T,Cartoon,Science Goggles,Oscar,Blonde Pippi Braids,Joint,Helen,162,Eye Black,Choker,,
Fear City #163,God Bless America,Gold Camo Bomber,Tentacles,,Pills,80s Flat Top,Natural Lips,ShadowKai,163,,,,
Fear City #164,God Bless America,Camo Bomber,Normal,Red Clubmasters,Rubber Ducky,Wolf Head with Blonde Hair,Joint,Baker,164,,,,
Fear City #165,Love Flash,Leather Cut Off,,,Cop Car,Pink Mohawk,Ciggy Holder,Thumper,165,Rabbit Head,Clock Bling,Ear Pendant,
Fear City #166,Green Flag,Fur Coat,Tentacles,Clubmasters,Funkin Donut,Green Mohawk,Silver Grill with Tongue,Thumper,166,Rabbit Head,,,
Fear City #167,Subway,Black Hoodie,Normal,,Oscar,Blue Baseball Cap,Idol Sneer,Baker,167,,,Smiley Band Aid,
Fear City #168,Subway,Leather Cut Off,,,Silver Ball and Chain,Bondage Half Mask with Glasses,Ciggy Holder,Thumper,168,Rabbit Head,Eth Pendant,,
Fear City #169,Green Flag,Bondage Waitress,Purple Mask,80s Orange Lens,Funkin Donuts,Green Baseball Cap,Joker with Toothpick,Helen,169,Nose Band Aid,,Blue Lasers,
Fear City #170,Green Flag,Camo Bomber,Normal Eyes,,Light Bulb,Pink Mohican,Joker with Ciggy,ShadowKai,170,,,,
Fear City #171,God Bless America,Blue Bomber,Demon,Red Clubmasters,Donut Dicks,Red Supermeme Hat,Natural Lips,ShadowKai,171,,,,
Fear City #172,Green Flag,Camo Bomber,Normal Eyes,,Molotov,Pink Short Mohawk,Idol Sneer,ShadowKai,172,,,AK-47,
Fear City #173,Green Flag,Free Panther T,Normal,,Knife Up,Red Pigol Bucket Hat,Idol Sneer,Baker,173,Nose Ring Diamond,,,
Fear City #174,Blue City,Bondage Waitress,Empress,,Hummingbird,White Bunny Mask and Blue Hair,Rainbow Grill,Helen,174,Gold Nose Ring,Samurai Bling,,
Fear City #175,Subway,Power Hoodie,Natural,White 80s Frames,Rubber Ducky,Cuban Beret with Red Hair 2,It Lips Smiley,Sophia,175,,,,
Fear City #176,God Bless America,Camo Bomber,Strange Red Alien,,Knife Up,Android Disguise Eyes,Cigar,Baker,176,,,,
Fear City #177,Under Water,Blue Bomber,Normal,,Parrot,Blue Baseball Cap,Idol Sneer,Baker,177,Nose Ring Diamond,,,
Fear City #178,Static,Black Hoodie,Normal Eyes,,Cash,Android Neon Biker Helmet,,ShadowKai,178,,,,
Fear City #179,Green Flag,Black T,Natural,,Donut Dicks,Brown Bob,It Lips,Sophia,179,Pro Wrestling Face Paint,Choker,Pigeon,
Fear City #180,Subway,Half Fur,Smokey Punk,White 80s Frames,Light Bulb,Shiba Baseball Cap,Silver Grill and Tongue,Helen,180,Nose Band Aid,,,
Fear City #181,Subway,NGMI T,Normal Eyes,,Short Samurai Sword,Green Mask,Joker with Ciggy,ShadowKai,181,,,,
Fear City #182,God Bless America,Leather Cut Off,,,Nail Bat,Green Mohawk,Monster Joint,Thumper,182,Rabbit Head,Eth Pendant,,
Fear City #183,Subway,Bondage Waitress with Shirt,Smokey,,Light Bulb,Flower Hair Mask,It Mouth,Helen,183,Eye Black,Choker,,
Fear City #184,God Bless America,NGMI T,Normal Eyes,Matrix Glasses,Pills,Spikey Blonde Hair,Natural Lips,ShadowKai,184,,,,
Fear City #185,God Bless America,Power Hoodie,Smokey Punk,,BAYC Oscar,White Bunny Mask,Madonna Mouth,Barb,185,Hickies,Samurai Bling,Pigeon,
Fear City #186,3D Flag,Green Leather Trench,,,Whip,Gold Luchador Mask,Silver Grill with Tongue,Thumper,186,Rabbit Head,,,
Fear City #187,God Bless America,Blue Bomber,Tentacles,,Cash,Red Pigol Bucket Hat,Ciggy Holder,ShadowKai,187,Nose Band Aid,,,
Fear City #188,God Bless America,Blue Vest,Normal,Ski Goggles,Syringe,80s Flat Top,Natural Lips,Baker,188,,,,
